"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2501N1464436A","2025-04-28","C","appartement",67.7,"Grande Rue 01580 Izernore","Gaz naturel",2192.6,2267.6,0,52.4,9.8,2210.9,2267.6,0,120.6,22.6,284.7,291.3,0,151,28.3,"existant"
"2501N1462037T","2025-04-29","A","appartement",69.4,"11 boulevard paul bert 01000 Bourg-en-Bresse","Réseau de Chauffage urbain",1644.5,2128.2,0,140.5,56.2,1644.5,2128.2,0,323.1,129.2,146.7,189.9,0,48.8,19.5,"existant"
"2501N1462002K","2025-04-29","A","appartement",42.6,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",787,1755.2,0,86.2,34.5,787,1755.2,0,198.3,79.3,70.2,156.6,0,29.9,12,"existant"
"2501N1453142Q","2025-04-28","C","immeuble",443.2,"Grande Rue 01580 Izernore","Gaz naturel",18599.4,14116.4,0,985.6,184.8,18754.6,14209.6,0,2266.9,425,2415,1829,0,342,64,"existant"
"2501N1461997F","2025-04-29","B","appartement",28.6,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",671.5,1469.2,0,57.9,23.2,671.5,1469.2,0,133.1,53.3,59.9,131.1,0,20.1,8,"existant"
"2501N1464431V","2025-04-28","C","appartement",72.4,"Grande Rue 01580 Izernore","Gaz naturel",3119.4,2325.9,0,56.1,10.5,3145.4,2325.9,0,129,24.2,405.1,298.8,0,161.6,30.3,"existant"
"2501N1287952E","2025-04-14","A","maison",104.8,"rue de l'école  (Châtillon-en-Michaille) 01200 Valserhône","Électricité",1875.9,765,0,178.2,41.9,4314.6,1759.6,0,409.8,96.4,456,186,0,43,10,"existant"
"2501N1462044A","2025-04-29","B","appartement",35.9,"11 boulevard paul bert 01000 Bourg-en-Bresse","Électricité",798.6,1618.3,0,72.7,29.1,798.6,1618.3,0,167.1,66.9,71.2,144.4,0,25.2,10.1,"existant"
"2501N1171880W","2025-04-03","A","maison",144.6,"230 Route de la Chanée 01560 Cormoz","Électricité",1315.9,853.1,101.2,231.4,130.1,3026.5,1962.2,232.8,532.1,299.3,328.3,212.9,25.3,57.7,32.5,"existant"
"2501N1196045H","2025-04-06","A","maison",82,"Route de la Poterie 01300 Magnieu","Électricité",836.4,483.8,0,164,24.6,1923.7,1112.7,0,377.2,56.6,241,139,0,47,7,"existant"
