"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","surface_habitable_logement","adresse_ban","type_energie_n1","conso_chauffage_ef","conso_ecs_ef","conso_refroidissement_ef","conso_eclairage_ef","conso_auxiliaires_ef","conso_chauffage_ep","conso_ecs_ep","conso_refroidissement_ep","conso_eclairage_ep","conso_auxiliaires_ep","cout_chauffage","cout_ecs","cout_refroidissement","cout_eclairage","cout_auxiliaires","type_dpe"
"2101N0060804A","2021-07-18","A","maison",163.5,"Rue de la Fruitière 01630 Péron","Électricité",2411,1357,0,303.9,81,5545.3,4400.8,0,699,186.4,572,322,0,72,19,"existant"
"2101N0120727T","2021-07-29","A","maison",117.8,"Rue du Saugey 01300 Virignin","Électricité",1469,560,0,237.8,14,3378.7,1816.1,0,547,32.2,409,156,0,66,4,"existant"
"2101N0081425D","2021-07-21","A","maison",132.3,"Les Blancs d'En Haut 01851 Marboz","Électricité",2052,543,0,286.7,90.5,4719.6,1760.9,0,659.4,208.2,531,140,0,74,23,"existant"
"2101N0084952U","2021-07-22","B","maison",106,"L’Oree du Village 01480 Fareins","Gaz naturel",5913,1787,0,210.2,26.3,5981.9,2519.7,0,483.6,60.4,631,258,0,77,10,"existant"
"2101N0128851F","2021-08-01","B","maison",71.9,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1645.3,537,0,138.6,0,3784.3,1741.5,0,318.7,0,457.4,149.3,0,32.2,0,"existant"
"2101N0107115F","2021-07-27","B","maison",115.5,"Grand Etang de Servas 01960 Servas","Gaz naturel",2376,1874,0,224.4,39.6,3200.2,2666.2,0,516.1,91.1,482,273,0,82,14,"existant"
"2101N0055508I","2021-07-06","C","maison",115.6,"Lotissement le Clos du Midi 01600 Reyrieux","Gaz naturel",4924,1721,0,239.9,28.2,4942.2,2452.3,0,551.7,64.9,634,224,0,87,10,"existant"
"2101N0054920S","2021-07-15","A","maison",90.8,"Rue de Béligneux 01800 Bourg-Saint-Christophe","Électricité",1758,560,0,190.4,0,4043.4,1816.1,0,437.9,0,479,152,0,52,0,"existant"
"2101N0060598C","2021-07-18","B","maison",104,"Rue de la Gare 01250 Simandre-sur-Suran","Bois – Granulés (pellets) ou briquettes",4539,564,0,208.6,0,6516.3,1829.1,0,479.8,0,604,157,0,58,0,"existant"
"2101N0143012W","2021-07-29","A","maison",135,"Chemin de Colonge 01290 Laiz","Électricité",2129,558,0,287.3,33.8,4896.7,1809.6,0,660.8,77.7,549,144,0,74,9,"existant"
"2101N0085081T","2021-07-22","A","maison",125.8,"Route de Mury 01170 Echenevex","Électricité",2035,620,0,254.4,31.8,4680.5,2010.7,0,585.1,73.1,524,160,0,65,8,"existant"
"2101N0101471D","2021-07-26","A","maison",129.3,"Lotissement le Haut des Echets 01700 Miribel","Électricité",1816,663,0,252.6,47.4,4176.8,2150.1,0,581.1,109,479,175,0,67,12,"existant"
"2101N0087345V","2021-07-22","B","maison",89.1,"Chemin du Bresset 01360 Béligneux","Gaz naturel",3290,697,0,177,20.8,3317.3,2260.4,0,407,47.9,479,254,0,64,8,"existant"
"2101N0107071N","2021-07-27","B","maison",114.3,"Chemin du Stade 01310 Saint-Rémy","Gaz naturel",3818,1720,0,247.6,52.1,4106.6,2449,0,569.4,119.9,586,245,0,90,19,"existant"
"2101N0122276I","2021-07-29","A","maison",150,"10 Chemin du Noyant 01800 Saint-Maurice-de-Gourdans","Électricité",2026,626,0,294.7,36.8,4659.8,2030.1,0,677.9,84.7,523,162,0,76,10,"existant"
"2101N0075315D","2021-07-20","A","maison",111,"643 Route de Beauregard 01480 Savigneux","Électricité",1661,498,0,235.3,69.2,3820.3,1615,0,541.1,159.2,452,136,0,64,19,"existant"
"2101N0128852G","2021-08-01","B","maison",45.5,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1315.5,472.5,0,85.4,0,3025.7,1532.3,0,196.5,0,386.6,138.9,0,14.7,0,"existant"
"2101N0105361T","2021-07-26","A","maison",140.1,"Allee des Tilleuls 01240 Lent","Électricité",2001,599,0,273.6,17.1,4602.3,1942.6,0,629.3,39.3,518,155,0,71,4,"existant"
"2101N0130040Y","2021-08-01","A","maison",219.8,"Rue de la Bonne 01320 Châtillon-la-Palud","Électricité",2626,731,0,433.1,54.1,6039.8,2370.6,0,996.2,124.5,636,177,0,105,13,"existant"
"2101N0084837J","2021-07-22","C","maison",97.9,"Lotissement Jean Monnet 01140 Saint-Didier-sur-Chalaronne","Gaz naturel",3839,1591,0,196,11.5,3839,2243.3,0,450.8,26.5,534,221,0,71,4,"existant"
"2101N0055630A","2021-07-06","A","maison",109.4,"Chemin de Vial 01310 Polliat","Électricité",2104,634,0,215.8,40.5,4839.2,2056.1,0,496.4,93.1,544,164,0,56,10,"existant"
"2101N0084909D","2021-07-22","B","maison",100.9,"Rue du Stade 01290 Cormoranche-sur-Sa*u00f4ne","Gaz naturel",3755,1636,0,211.9,47.1,4152.8,2328.8,0,487.3,108.3,606,237,0,77,17,"existant"
"2101N0075224Q","2021-07-20","C","maison",100.4,"Rue du Parc des Sables 01600 Reyrieux","Gaz naturel",4177,1665,0,211.3,37.3,4209.5,2369.6,0,486,85.8,570,227,0,77,14,"existant"
"2101N0054728I","2021-07-15","A","maison",171.9,"la Montée 01570 Manziat","Électricité",1732,1010,0,350.5,41.2,3983.6,3275.4,0,806.2,94.9,440,257,0,89,10,"existant"
"2101N0105368A","2021-07-26","B","maison",71.9,"Chemin du Clos des Barres 01540 Vonnas","Électricité",1363,741,0,136.3,0,3134.9,2403.1,0,313.5,0,382,208,0,38,0,"existant"
"2101N0125456Q","2021-07-30","A","maison",93.8,"Route de la Vieille Cote 01400 Sulignat","Électricité",1165,442,0,194.2,0,2679.5,1433.4,0,446.7,0,344,130,0,57,0,"existant"
"2101N0113514I","2021-07-27","A","maison",119.4,"Route de Jassans 01600 Trévoux","Électricité",1397.4,868.7,0,237.4,3.1,3214,1997.9,0,546,7.1,489.6,304.3,0,83.2,1.1,"existant"
"2101N0128854I","2021-08-01","B","maison",45.5,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1315.5,472.5,0,85.4,0,3025.7,1532.3,0,196.5,0,386.6,138.9,0,14.7,0,"existant"
"2101N0053035F","2021-07-15","B","maison",95.1,"Allee des Tilleuls 01240 Lent","Bois – Granulés (pellets) ou briquettes",3811,719,0,206.9,0,5198.1,2331.7,0,475.9,0,471,207,0,60,0,"existant"
"2101N0129962Y","2021-08-01","A","maison",89.2,"Rue de Monetroi 01800 Charnoz-sur-Ain","Électricité",1490,750,0,198,0,3427,2432.3,0,455.4,0,407,205,0,54,0,"existant"
"2101N0076542I","2021-07-19","A","maison",139,"Impasse du Verger d’Alix 01370 Meillonnas","Électricité",2451,578,0,280.2,17.5,5637.3,1874.5,0,644.4,40.3,615,145,0,70,4,"existant"
"2101N0107026U","2021-07-27","A","maison",167,"Impasse de Perret 01170 Cessy","Électricité",1473,623,0,332,41.5,3387.9,2020.4,0,763.6,95.5,393,166,0,89,11,"existant"
"2101N0062106C","2021-07-18","A","maison",73,"Lotissement le Parc du Chateau 01330 Ambérieux-en-Dombes","Électricité",1052,530,0,136.8,42.8,2419.6,1718.8,0,314.6,98.3,313,158,0,41,13,"existant"
"2101N0055664I","2021-07-06","C","maison",122,"15 Rue des Terrasses 01290 Crottet","Gaz naturel",5284,1733,0,253.6,42.3,5320.4,2469.2,0,583.3,97.2,670,221,0,92,15,"existant"
"2101N0081227N","2021-07-21","A","maison",99.4,"Impasse Cadalle 01240 Saint-André-le-Bouchoux","Électricité",1471,661,0,199.5,12.5,3383.3,2143.6,0,458.9,28.7,406,182,0,55,3,"existant"
"2101N0081099P","2021-07-21","A","maison",90.8,"Rue de Béligneux 01800 Bourg-Saint-Christophe","Électricité",1758,560,0,190.4,0,4043.4,1816.1,0,437.9,0,479,152,0,52,0,"existant"
"2101N0081163B","2021-07-21","C","maison",81.6,"Grande Rue 01320 Saint-Nizier-le-Désert","Gaz naturel",3845,1478,0,173.9,9.7,3995.8,2102.3,0,399.9,22.2,571,212,0,63,4,"existant"
"2101N0125485T","2021-07-30","A","maison",115.6,"Impasse du Chemin Vieux 01750 Replonges","Électricité",1323,473,0,229.5,40.5,3042.9,1533.9,0,527.9,93.2,378,135,0,66,12,"existant"
"2101N0082044Y","2021-07-21","A","maison",149.6,"Chemin de la Grande Fontaine 01250 Ceyzériat","Électricité",1797,529,0,299.5,35.2,4133.1,1715.5,0,688.9,81.1,480,141,0,80,9,"existant"
"2101N0118243F","2021-07-28","A","maison",127.9,"Rue de l'Eglise 01120 Thil","Gaz naturel",3660,770,0,251.4,15.7,3986.3,2497.1,0,578.1,36.1,573,249,0,81,5,"existant"
"2101N0106978Y","2021-07-27","A","maison",103.6,"Route de la Rolliere 01290 Saint-Jean-sur-Veyle","Électricité",1392,578,0,200.6,47.2,3201.6,1874.5,0,461.4,108.6,391,162,0,56,13,"existant"
"2101N0051046S","2021-07-14","A","maison",99.6,"Simandre-sur-Suran","Électricité",1453,685,0,200.8,0,3341.9,2221.5,0,461.8,0,403,190,0,56,0,"existant"
"2101N0058671Z","2021-07-07","B","maison",131.6,"814 Route de Mategnin 01280 Prévessin-Mo*u00ebns","Électricité",2933,689,0,256.5,48.1,6745.9,2234.4,0,589.9,110.6,703,165,0,61,12,"existant"
"2101N0075396G","2021-07-20","C","maison",91,"Fareins","Gaz naturel",3973,1600,0,193,11.4,4002.9,2276.2,0,443.8,26.1,553,223,0,70,4,"existant"
"2101N0121067V","2021-07-29","A","maison",123.3,"Allee de la Geliere 01440 Viriat","Électricité",2330,489,0,273.2,115,5359,1585.8,0,628.4,264.6,591,124,0,69,29,"existant"
"2101N0128850E","2021-08-01","B","maison",71.9,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1645.3,537,0,138.6,0,3784.3,1741.5,0,318.7,0,457.4,149.3,0,32.2,0,"existant"
"2101N0055568Q","2021-07-06","B","maison",119.5,"3 rue comte de la teyssonniere 01000 Bourg-en-Bresse","Gaz naturel",4034,1746,0,264.1,0,4128.9,2489.4,0,607.3,0,567,241,0,96,0,"existant"
"2101N0142990A","2021-07-29","A","maison",123,"Chemin de Colonge 01290 Laiz","Électricité",1687,558,0,257.4,42.9,3880.1,1809.6,0,592,98.7,458,151,0,70,12,"existant"
"2101N0043521H","2021-07-12","A","maison",104.3,"Montee des Lilas 01400 Châtillon-sur-Chalaronne","Électricité",1253.6,1241.3,0,221.2,122.9,2883.2,2855,0,508.8,282.7,331.5,328.3,0,58.5,32.5,"existant"
"2101N0105355N","2021-07-26","C","maison",101.9,"Chemin de la Vigne 01800 Rignieux-le-Franc","Gaz naturel",4618,1672,0,212.2,0,4650.5,2379.5,0,488,0,611,222,0,77,0,"existant"
"2101N0116809B","2021-07-28","A","maison",134.9,"220 Route de Sainte Croix 01120 Dagneux","Électricité",2182,600,0,266.6,50,5018.6,1945.8,0,613.1,115,558,153,0,68,13,"existant"
"2101N0128848C","2021-08-01","B","maison",71.9,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1645.3,537,0,138.6,0,3784.3,1741.5,0,318.7,0,457.4,149.3,0,32.2,0,"existant"
"2101N0055006A","2021-07-15","A","maison",101,"Impasse de la Sereine 01120 Sainte-Croix","Électricité",1926,732,0,218.3,12.8,4429.8,2373.9,0,502,29.5,502,191,0,57,3,"existant"
"2101N0112567X","2021-07-28","B","maison",94.1,"59 Route de Belley 01300 Chazey-Bons","Bois – Granulés (pellets) ou briquettes",4025,721,0,188.5,0,5351,2338.2,0,433.6,0,476,209,0,55,0,"existant"
"2101N0120397B","2021-07-29","A","maison",100.3,"Rue de la Croix Verte 01750 Replonges","Électricité",989.4,1125.6,0,236,1.9,2275.7,2588.9,0,542.8,4.4,273.9,311.5,0,65.3,0.5,"existant"
"2101N0085116C","2021-07-22","C","maison",107.2,"Route de Mury 01170 Échenevex","GPL",3696,2287,0,205.4,41.1,4034,3250.3,0,472.3,94.5,364,183,0,75,15,"existant"
"2101N0061492M","2021-07-18","A","maison",111.5,"Le Mollard Est 01160 Saint-Martin-du-Mont","Électricité",1859,520,0,221,13,4275.7,1686.4,0,508.3,29.9,497,139,0,59,3,"existant"
"2101N0041932E","2021-07-04","C","maison",107.8,"Les Croisettes 01290 Cormoranche-sur-Saône","Gaz naturel",4267,1670,0,213.4,37.7,4740.2,2378.5,0,490.7,86.6,670,233,0,78,14,"existant"
"2101N0041765T","2021-07-07","B","maison",132.2,"Rue de la Platière 01390 Saint-André-de-Corcy","Gaz naturel",2567,1831,0,261.6,130.8,3269,2611,0,601.7,300.8,486,268,0,94,47,"existant"
"2101N0051034G","2021-07-14","A","maison",99.6,"Simandre-sur-Suran","Électricité",1453,685,0,200.8,0,3341.9,2221.5,0,461.8,0,403,190,0,56,0,"existant"
"2101N0049639P","2021-07-14","C","maison",90,"Chemin des Sources 01480 Messimy-sur-Saône","Gaz naturel",3694,1550,0,193.8,45.6,4020.3,2205.7,0,445.7,104.9,588,226,0,71,17,"existant"
"2101N0081027V","2021-07-21","A","maison",101.7,"Rue de la Mairie 01120 Thil","Électricité",1895,676,0,212,53,4358.5,2192.3,0,487.6,121.9,497,177,0,56,14,"existant"
"2101N0092880S","2021-07-25","B","maison",106.3,"Rue de la Mairie 01170 Cessy","Électricité",2400,622,0,203.2,12.7,5520,2017.1,0,467.4,29.2,607,157,0,51,3,"existant"
"2101N0116906U","2021-07-28","A","maison",109.9,"Lot le Clos des Beraudieres 01800 Charnoz-sur-Ain","Électricité",1737,532,0,224.2,42,3995.1,1725.3,0,515.6,96.7,470,144,0,61,11,"existant"
"2101N0081281P","2021-07-21","A","maison",75.7,"Route du Costal 01340 Malafretaz","Électricité",1158,413,0,161.6,26.9,2663.4,1339.4,0,371.8,62,344,123,0,48,8,"existant"
"2101N0105369B","2021-07-26","B","maison",81.8,"Montée de la Valla 01290 Bey","Électricité",1710,560,0,160,0,3933,1816.1,0,368,0,471,154,0,44,0,"existant"
"2101N0043395L","2021-07-12","A","maison",106.9,"717 Grande Rue 01090 Francheleins","Électricité",1466.1,538,0,215.2,161.4,3371.9,1237.4,0,495,371.2,407.9,149.7,0,59.9,44.9,"existant"
"2101N0084669X","2021-07-22","B","maison",94.7,"Rue du Godimut 01360 Loyettes","Bois – Granulés (pellets) ou briquettes",3886,484,0,198.2,0,5403.1,1569.6,0,455.8,0,505,142,0,58,0,"existant"
"2101N0107038G","2021-07-27","B","maison",129.9,"Rue du Champ Crepin 01140 Mogneneins","Bois – Granulés (pellets) ou briquettes",5922,616,0,240.5,0,8070.9,1997.7,0,553.1,0,706,168,0,65,0,"existant"
"2101N0131054Y","2021-08-01","B","immeuble",892.2,"Chemin des Buffets 01250 Montagnat","Électricité",11777,7066,6183,5692.1,0,27087.1,22915,14220.9,13091.9,0,2034,1221,1068,983,0,"existant"
"2101N0068233T","2021-07-19","B","maison",106.1,"Route du Port 01150 Lagnieu","Gaz naturel",3748,1777,0,205.5,12.1,3763.6,2527.6,0,472.7,27.8,521,248,0,75,4,"existant"
"2101N0049627D","2021-07-14","A","maison",123.5,"Lotissement le Filioly 01330 Bouligneux","Électricité",1839,556,0,247.2,46.4,4229.7,1803.1,0,568.6,106.6,489,148,0,66,12,"existant"
"2101N0027983R","2021-07-08","A","maison",185,"Route du Stade 01380 Bâgé-Dommartin","Électricité",4833.1,940.2,0,383,6.4,7583.1,2162.4,0,881,14.7,712,277.8,0,113.2,1.9,"existant"
"2101N0087380E","2021-07-22","A","maison",130,"Béligneux","Électricité",1405,596,0,259.6,45.8,3231.5,1932.8,0,597.1,105.4,389,165,0,72,13,"existant"
"2101N0058760K","2021-07-11","A","maison",99.6,"Moulin Mairie 01190 Saint-Bénigne","Électricité",1674,678,0,196.9,21.9,3850.2,2198.8,0,452.9,50.3,452,183,0,53,6,"existant"
"2101N0068832U","2021-07-11","A","maison",120.9,"Chemin du Clos 01600 Reyrieux","Électricité",1942,516,0,227.6,91,4466.6,1673.4,0,523.4,209.3,510,136,0,60,24,"existant"
"2101N0095240M","2021-07-11","B","maison",89.4,"Chemin de Chavaleins 01480 Chaleins","Gaz naturel",2316,1509,0,188.6,10.5,3310.5,2146,0,433.9,24.1,496,220,0,67,4,"existant"
"2101N0058679H","2021-07-07","C","maison",85.3,"Lotissement le Parc du Chateau 01330 Ambérieux-en-Dombes","Gaz naturel",3922,1500,0,178.7,9.9,4024.7,2133.3,0,411.1,22.8,568,213,0,65,4,"existant"
"2101N0105350I","2021-07-26","C","maison",92,"Rue de la Mairie 01120 Thil","Gaz naturel",3987,1551,0,183.8,11.5,4016.9,2207.1,0,422.8,26.4,556,217,0,67,4,"existant"
"2101N0106878C","2021-07-27","A","maison",120,"207 Rue du Joran 01170 Cessy","Électricité",2400,690,0,229.9,57.5,5520,2237.7,0,528.8,132.2,600,173,0,58,14,"existant"
"2101N0060290G","2021-07-18","A","maison",86.5,"111 Impasse des Mesanges 01700 Beynost","Électricité",1056,506,0,154,99,2428.8,1163.8,0,354.2,227.7,314.3,150.6,0,45.8,29.5,"existant"
"2101N0079375H","2021-07-21","A","maison",129.4,"177 Rue de la Mairie 01120 Thil","Électricité",2147,565,0,274.4,113,4938.1,1832.3,0,631.1,259.9,549,144,0,70,29,"existant"
"2101N0058740Q","2021-07-11","A","maison",106,"4 Lot le Domaine de la Valliere 01480 Chaleins","Électricité",1882,683,0,232,38.7,4328.6,2215,0,533.6,88.9,494,179,0,61,10,"existant"
"2101N0059790A","2021-07-18","A","maison",150.3,"24 Lotissement les Coteaux de Maissiat 01590 Dortan","Électricité",3193,789,0,293.6,55.1,7343.9,2558.7,0,675.3,126.6,753,186,0,69,13,"existant"
"2101N0061171D","2021-07-18","A","maison",86.5,"111 Impasse des Mesanges 01700 Beynost","Électricité",1034,506,0,154,99,2378.2,1163.8,0,354.2,227.7,308.8,151.1,0,46,29.6,"existant"
"2101N0096673P","2021-07-25","A","maison",132.8,"421 Route de Ceyzeriat 01250 Jasseron","Électricité",1365.9,722.2,0,298.3,78.5,3141.6,1661.1,0,686.1,180.6,377.1,199.4,0,82.4,21.7,"existant"
"2101N0105364W","2021-07-26","A","maison",115.3,"15 Rue des Tilleuls 01240 Lent","Électricité",1709,565,215,215.4,67.3,3930.7,1832.3,494.5,495.3,154.8,457,151,58,58,18,"existant"
"2101N0042319B","2021-07-12","A","maison",179.3,"332 Rue de Grange Peyraud 01360 Loyettes","Électricité",1304,911,124,372.6,0,2999.2,2954.4,285.2,857,0,350,244,33,100,0,"existant"
"2101N0076492K","2021-07-19","B","maison",121.8,"564 Route de Loyettes 01150 Blyes","Gaz naturel",4820,1765,0,237.3,29.7,5282.8,2516.1,0,545.7,68.2,599,257,0,86,11,"existant"
"2101N0027190E","2021-07-08","A","maison",135.6,"501 Route d’Asnières 01570 Manziat","Électricité",1848.9,719.3,378.6,309.2,2.5,4252.4,1654.5,870.8,711.1,5.7,581.1,226.1,119,97.2,0.8,"existant"
"2101N0058750A","2021-07-11","B","maison",99.6,"45 Chemin de Chavaleins 01480 Chaleins","Gaz naturel",3606,1612,0,221.6,12.3,3733.4,2294.9,0,509.6,28.3,537,233,0,81,4,"existant"
"2101N0078942Q","2021-07-21","A","maison",138.6,"306 Rue de Buyat 01800 Saint-Jean-de-Niost","Électricité",1872,601,0,274.7,34.3,4305.6,1949,0,631.9,79,494,158,0,72,9,"existant"
"2101N0060434U","2021-07-18","B","maison",72.3,"40 Route de Corcelle 01190 Gorrevod","Bois – Granulés (pellets) ou briquettes",3256,561,0,150.7,0,4169.9,1819.3,0,346.5,0,375,177,0,48,0,"existant"
"2101N0038236A","2021-07-08","A","maison",113.8,"266 Chemin du Bois du Lys 01600 Saint-Bernard","Électricité",2002,554,0,227.2,42.6,4604.6,1796.6,0,522.6,98,525,145,0,60,11,"existant"
"2101N0109324E","2021-07-27","A","maison",167.6,"99 Les Gaillardes 01390 Rancé","Électricité",563.8,335,0,130.7,155.2,1296.7,770.5,0,300.7,357.1,192.3,114.3,0,44.6,52.9,"existant"
"2101N0761712A","2021-08-15","C","appartement",60.8,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",3714.9,1884.1,0,34.3,0,3761.4,2683.9,0,79,0,419.5,212.2,0,118.4,0,"existant"
"2101N0128851F","2021-08-01","B","maison",71.9,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1645.3,537,0,138.6,0,3784.3,1741.5,0,318.7,0,457.4,149.3,0,32.2,0,"existant"
"2101N0761701P","2021-08-15","C","appartement",73.1,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2037.7,2014.1,0,41.2,0,2063.3,2869,0,94.9,0,230.1,226.8,0,142.2,0,"existant"
"2101N0760272Q","2021-08-15","C","appartement",57.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2610,1852.7,0,32.7,0,2642.7,2639.1,0,75.1,0,294.8,208.7,0,112.6,0,"existant"
"2101N0761668I","2021-08-15","C","appartement",42.7,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2114.8,1630,0,24.1,0,2141.3,2321.9,0,55.4,0,238.8,183.6,0,83,0,"existant"
"2101N0760447J","2021-08-15","C","appartement",87.4,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",3628.6,2166.6,0,49.4,0,3674.1,3086.3,0,113.5,0,409.8,244,0,170.2,0,"existant"
"2101N0761662C","2021-08-15","C","appartement",73.1,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2529.9,2014.1,0,41.2,0,2561.6,2869,0,94.9,0,285.7,226.8,0,142.2,0,"existant"
"2101N0761743F","2021-08-15","B","appartement",88.1,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1786.7,2154.6,0,46.6,0,1807,3070.4,0,107.1,0,201.5,242.8,0,160.5,0,"existant"
"2101N0231702A","2021-08-29","B","maison",75.7,"Avenue des Tuileries 01600 Trévoux","Gaz naturel",2002.7,1462.1,0,161.6,10.1,2092.9,2061.6,0,371.6,23.2,214.2,145,0,52.5,3.3,"existant"
"2101N0761735X","2021-08-15","C","appartement",61.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2424.7,1879.3,0,32.7,0,2452.3,2678.1,0,75.3,0,273.5,211.8,0,112.8,0,"existant"
"2101N0128852G","2021-08-01","B","maison",45.5,"Route de Barbery 01560 Saint-Jean-sur-Reyssouze","Électricité",1315.5,472.5,0,85.4,0,3025.7,1532.3,0,196.5,0,386.6,138.9,0,14.7,0,"existant"
"2101N0207495Z","2021-08-23","A","appartement",391.6,"Rue de Champel 01270 Coligny","Électricité",3302.1,3072.3,0,825.1,275,7594.9,9963.5,0,1897.8,632.6,767.2,713.8,0,103.9,34.6,"existant"
"2101N0761751N","2021-08-15","C","appartement",39,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",723.9,1546.9,0,20.6,0,732.2,2204.5,0,47.4,0,81.6,174.3,0,71,0,"existant"
"2101N0761777N","2021-08-15","C","appartement",65.8,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1262.6,1919.7,0,34.8,0,1277,2735.7,0,79.9,0,142.4,216.3,0,119.8,0,"existant"
"2101N0200912U","2021-08-22","A","maison",153.4,"Route du Village 01250 Montagnat","Électricité",2218,582,0,327.2,163.6,5101.4,1887.4,0,752.7,376.3,557,146,0,82,41,"existant"
"2101N0231707F","2021-08-29","B","maison",75.7,"Avenue des Tuileries 01600 Trévoux","Gaz naturel",2046.1,1462.1,0,161.6,10.1,2139.1,2061.6,0,371.6,23.2,219.3,145.1,0,52.5,3.3,"existant"
"2101N0584162E","2021-08-12","B","maison",85.4,"Impasse des Iris 01800 Meximieux","Gaz naturel",2419,1578,0,254,1.9,2419,1578,0,585,4.4,387.2,252.6,0,81,1.3,"existant"
"2101N0130040Y","2021-08-01","A","maison",219.8,"Rue de la Bonne 01320 Châtillon-la-Palud","Électricité",2626,731,0,433.1,54.1,6039.8,2370.6,0,996.2,124.5,636,177,0,105,13,"existant"
"2101N0760458U","2021-08-15","C","appartement",45.1,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1706.3,1676.7,0,25.5,0,1727.7,2388.4,0,58.6,0,192.7,188.8,0,87.8,0,"existant"
"2101N0185029X","2021-08-12","B","maison",111.7,"Rue de la Citadelle 01800 Meximieux","Gaz naturel",2800,2005,0,448,1.9,2800,2005,0,1031,4.4,448.2,320.9,0,138,1.3,"existant"
"2101N0231701Z","2021-08-29","B","maison",75.7,"Avenue des Tuileries 01600 Trévoux","Gaz naturel",2128.4,1462.1,0,161.6,10.1,2224.3,2061.6,0,371.6,23.2,227.7,145,0,52.5,3.3,"existant"
"2101N0185027V","2021-08-12","B","maison",109.9,"Rue de la Citadelle 01800 Meximieux","Gaz naturel",2900,1900,0,448,1.9,2900,1900,0,1031,4.4,464.2,304.1,0,138,1.3,"existant"
"2101N0761677R","2021-08-15","C","appartement",62.8,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1425.3,1904.8,0,35.4,0,1443.2,2713.4,0,81.5,0,161,214.5,0,122.2,0,"existant"
"2101N0761683X","2021-08-15","C","appartement",41.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1791.2,1615.3,0,23.6,0,1813.6,2300.9,0,54.4,0,202.3,181.9,0,81.5,0,"existant"
"2101N0760321N","2021-08-15","C","appartement",57.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2282.9,1852.7,0,32.7,0,2311.6,2639.1,0,75.1,0,257.8,208.7,0,112.6,0,"existant"
"2101N0761796G","2021-08-15","C","appartement",38.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1184,1545.4,0,20.6,0,1197.5,2202.4,0,47.3,0,133.5,174.1,0,70.9,0,"existant"
"2101N0761673N","2021-08-15","C","appartement",68.5,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2744.3,1966.2,0,38.7,0,2778.7,2800.8,0,89,0,309.9,221.4,0,133.4,0,"existant"
"2101N0207743N","2021-08-23","A","appartement",391.6,"Rue de Champel 01270 Coligny","Électricité",3302.1,3072.3,0,825.1,275,7594.9,9963.5,0,1897.8,632.6,918.7,615.3,0,149.1,25.8,"existant"
"2101N0231706E","2021-08-29","C","maison",88.6,"Avenue des Tuileries 01600 Trévoux","Gaz naturel",2940.5,1541.4,0,189.2,11.8,3074.1,2173.3,0,435.2,27.2,315.1,153,0,61.5,3.8,"existant"
"2101N0761755R","2021-08-15","C","appartement",61.9,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",2069.1,1879.3,0,32.7,0,2092.7,2678.1,0,75.3,0,233.3,211.8,0,112.8,0,"existant"
"2101N0246477H","2021-08-31","B","maison",65.6,"205 Route de Tossiat 01250 Revonnas","Bois – Granulés (pellets) ou briquettes",2916,679,0,151.8,0,3673.9,2202,0,349.2,0,323,214,0,48,0,"existant"
"2101N0760270O","2021-08-15","C","appartement",64.5,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",3140.5,1922.9,0,36.4,0,3179.9,2739.1,0,83.7,0,354.7,216.6,0,125.5,0,"existant"
"2101N0138805B","2021-08-03","B","maison",83.1,"Lotissement du Vieux Château 01400 Châtillon-sur-Chalaronne","Bois – Granulés (pellets) ou briquettes",4390,1538,0,174.1,48.4,4452.4,2168.6,0,400.3,111.2,391,222,0,63,18,"existant"
"2101N0761762Y","2021-08-15","C","appartement",66.2,"Chemin de Vireloup 01210 Ferney-Voltaire","Gaz naturel",1332,1924.7,0,35,0,1347.1,2742.9,0,80.5,0,150.2,216.9,0,120.7,0,"existant"
